---- AnyBody Output File ---------------------------------
Study: Main.Study
Operation: Main.Study.InverseDynamics
----------------------------------------------------------
Constants (Name = Value): 
Main.Study.Output_tricps_LA_2.UpdData = 2
Main.Study.Output_tricps_LA_2.FileName = "triceps_LA_2_data.txt"
Main.Study.Output_tricps_LA_2.NumberFormat.Digits = 15
Main.Study.Output_tricps_LA_2.NumberFormat.Width = 23
Main.Study.Output_tricps_LA_2.NumberFormat.Style = ScientificNumber
Main.Study.Output_tricps_LA_2.NumberFormat.FormatStr = "%23.15e"
Main.Study.Output_tricps_LA_2.Values = 
Main.Study.Output_tricps_LA_2.Search = {"Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_LA_2.Fm"}
Main.Study.Output_tricps_LA_2.Format = 0
Main.Study.Output_tricps_LA_2.SepSign = ","
Main.Study.Output_tricps_LA_2.SepSpaceAutoOnOff = On
Main.Study.Output_tricps_LA_2.LineSepSign = ""
Main.Study.Output_tricps_LA_2.Header.TitleSectionOnOff = On
Main.Study.Output_tricps_LA_2.Header.ConstSectionOnOff = On
Main.Study.Output_tricps_LA_2.Header.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_tricps_LA_2.Header.VarSectionOnOff = On
Main.Study.Output_tricps_LA_2.Header.ColumnNamesOnOff = On
Main.Study.Output_tricps_LA_2.Header.LinePrefix = ""
Main.Study.Output_tricps_LA_2.Header.ShortenNamesOnOff = Off
Main.Study.Output_tricps_LA_2.Header.ColumnIDString = "col"
Main.Study.Output_tricps_LA_2.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_tricps_LA_2.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Study.t
col1  Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_LA_2.Fm
----------------------------------------------------------
Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_LA_2.Fm
  5.789473684210527e+00,  4.054321533780607e+00
  5.814536340852130e+00,  4.177362456303923e+00
  5.839598997493734e+00,  4.315759857731972e+00
  5.864661654135338e+00,  4.467813354100225e+00
  5.889724310776943e+00,  4.631380640581852e+00
  5.914786967418546e+00,  4.804147987971788e+00
  5.939849624060151e+00,  4.985517712602688e+00
  5.964912280701754e+00,  5.174059295582170e+00
  5.989974937343359e+00,  5.369270340200378e+00
  6.015037593984962e+00,  5.569691425907862e+00
  6.040100250626566e+00,  5.774714504899308e+00
  6.065162907268170e+00,  5.982124152218787e+00
  6.090225563909774e+00,  6.192141636326482e+00
  6.115288220551378e+00,  6.404145353459333e+00
  6.140350877192983e+00,  6.620388397560804e+00
  6.165413533834586e+00,  6.842257825637474e+00
  6.190476190476191e+00,  7.072216408429338e+00
  6.215538847117794e+00,  7.299048877026860e+00
  6.240601503759398e+00,  7.523582855408964e+00
  6.265664160401002e+00,  7.750944375136177e+00
  6.290726817042607e+00,  7.978006970923089e+00
  6.315789473684211e+00,  8.205019286552261e+00
  6.340852130325815e+00,  8.428932004528626e+00
  6.365914786967418e+00,  8.653334143478222e+00
  6.390977443609023e+00,  8.884678556468149e+00
  6.416040100250626e+00,  9.129161481563782e+00
  6.441102756892231e+00,  9.368115858943987e+00
  6.466165413533834e+00,  9.600913691518704e+00
  6.491228070175438e+00,  9.840674116171240e+00
  6.516290726817042e+00,  1.008078009522769e+01
  6.541353383458647e+00,  1.032740378099955e+01
  6.566416040100250e+00,  1.056808192033122e+01
  6.591478696741855e+00,  1.080606157473783e+01
  6.616541353383458e+00,  1.104371950059380e+01
  6.641604010025063e+00,  1.129529377284192e+01
  6.666666666666666e+00,  1.157503829634096e+01
  6.691729323308271e+00,  1.184879062022262e+01
  6.716791979949875e+00,  1.212134467944399e+01
  6.741854636591479e+00,  1.239181977581780e+01
  6.766917293233083e+00,  1.267147049018445e+01
  6.791979949874687e+00,  1.301101383832528e+01
  6.817042606516290e+00,  1.336330218577598e+01
  6.842105263157895e+00,  1.372750312828136e+01
  6.867167919799498e+00,  1.411741832550137e+01
  6.892230576441102e+00,  1.452070722811728e+01
  6.917293233082706e+00,  1.478508927099137e+01
  6.942355889724311e+00,  1.500080111337289e+01
  6.967418546365915e+00,  1.519379619195699e+01
  6.992481203007519e+00,  1.540892847131361e+01
  7.017543859649122e+00,  1.558065083108525e+01
  7.042606516290727e+00,  1.575548306107429e+01
  7.067669172932330e+00,  1.593520935086074e+01
  7.092731829573935e+00,  1.612091620857301e+01
  7.117794486215539e+00,  1.630102925818816e+01
  7.142857142857143e+00,  1.646856330779528e+01
  7.167919799498747e+00,  1.658116141058193e+01
  7.192982456140351e+00,  1.672311048744446e+01
  7.218045112781954e+00,  1.684579248987923e+01
  7.243107769423559e+00,  1.688044718222308e+01
  7.268170426065162e+00,  1.688090373067755e+01
  7.293233082706767e+00,  1.683064547192854e+01
  7.318295739348370e+00,  1.673472358659269e+01
  7.343358395989975e+00,  1.657602778868137e+01
  7.368421052631579e+00,  1.633329973336578e+01
  7.393483709273183e+00,  1.598917840808387e+01
  7.418546365914787e+00,  1.543697406490406e+01
  7.443609022556391e+00,  1.471722804017697e+01
  7.468671679197994e+00,  1.382420824543639e+01
  7.493734335839600e+00,  1.286583944720340e+01
  7.518796992481203e+00,  1.152509785568666e+01
  7.543859649122807e+00,  1.007547908552048e+01
  7.568922305764411e+00,  8.040434562877961e+00
  7.593984962406015e+00,  5.508014452718077e+00
  7.619047619047619e+00,  1.260118926221764e+00
  7.644110275689223e+00,  4.151261892323932e-12
  7.669172932330826e+00,  2.230096534568297e-13
  7.694235588972431e+00,  1.252560725202521e-13
  7.719298245614034e+00,  1.598461369846325e-13
  7.744360902255639e+00,  3.904502869239869e-13
  7.769423558897243e+00,  9.022752579799482e-14
  7.794486215538847e+00,  6.031349347106375e-14
  7.819548872180451e+00,  5.339993955099360e-14
  7.844611528822055e+00,  5.450032348326985e-14
  7.869674185463658e+00,  2.353394405378539e-13
  7.894736842105264e+00,  2.871468029498866e-14
  7.919799498746867e+00,  2.601911718784182e-14
  7.944862155388472e+00,  3.908051864621719e-14
  7.969924812030075e+00,  8.098019529226931e-14
  7.994987468671679e+00,  6.377443676849350e-14
  8.020050125313283e+00,  3.602329010384270e-14
  8.045112781954888e+00,  5.541250567640262e-14
  8.070175438596491e+00,  7.346619729097330e-14
  8.095238095238095e+00,  2.199296530031679e-14
  8.120300751879698e+00,  2.759537809816270e-14
  8.145363408521304e+00,  2.147640188846190e-13
  8.170426065162907e+00,  1.223429969012641e-13
  8.195488721804512e+00,  3.280823397831378e-14
  8.220551378446114e+00,  3.057743269935694e-14
  8.245614035087719e+00,  1.478889131294395e-13
  8.270676691729323e+00,  1.663922588287982e-13
  8.295739348370928e+00,  9.083747787831195e-14
  8.320802005012531e+00,  9.786580945583527e-14
  8.345864661654135e+00,  1.220220104373860e-13
  8.370927318295738e+00,  9.769045704607042e-14
  8.395989974937343e+00,  9.594301068771911e-14
  8.421052631578947e+00,  3.424596010851273e-14
  8.446115288220552e+00,  2.183214126170075e-14
  8.471177944862156e+00,  2.873547284336639e-13
  8.496240601503759e+00,  5.131333797805509e-14
  8.521303258145362e+00,  5.839897684881517e-14
  8.546365914786968e+00,  1.089210930436974e-13
  8.571428571428571e+00,  1.503150879470790e-13
  8.596491228070175e+00,  1.547279097196237e-13
  8.621553884711780e+00,  1.932292554613217e-13
  8.646616541353383e+00,  1.684577191392711e-13
  8.671679197994987e+00,  1.796150320420063e-13
  8.696741854636592e+00,  2.128289233616192e-13
  8.721804511278195e+00,  3.940707101627878e-13
  8.746867167919799e+00,  4.432180579461642e-13
  8.771929824561402e+00,  1.184187337902490e-13
  8.796992481203008e+00,  9.716942892485616e-14
  8.822055137844611e+00,  1.285940449728361e-13
  8.847117794486216e+00,  4.482247223427366e-13
  8.872180451127820e+00,  5.403010719460418e-13
  8.897243107769423e+00,  4.530391435209112e-13
  8.922305764411027e+00,  4.266336769384719e-13
  8.947368421052632e+00,  3.427833695618193e-13
  8.972431077694235e+00,  3.415605706198556e-13
  8.997493734335841e+00,  3.695722645618502e-13
  9.022556390977442e+00,  4.040798122679422e-13
  9.047619047619047e+00,  4.505084805855438e-13
  9.072681704260651e+00,  4.980791531435608e-13
  9.097744360902256e+00,  5.462292613169100e-13
  9.122807017543860e+00,  5.600260891852271e-13
  9.147869674185463e+00,  5.988111146723197e-13
  9.172932330827066e+00,  6.371513076207693e-13
  9.197994987468672e+00,  5.405879095087599e-13
  9.223057644110275e+00,  4.751772290608190e-13
  9.248120300751880e+00,  4.991737535250802e-13
  9.273182957393484e+00,  6.123066149151550e-13
  9.298245614035087e+00,  8.214978854102391e-13
  9.323308270676691e+00,  1.105120340063765e-12
  9.348370927318296e+00,  1.746724614330689e-12
  9.373433583959899e+00,  2.705424743890927e-12
  9.398496240601503e+00,  6.379537952149374e-12
  9.423558897243108e+00,  3.115223043767691e-11
  9.448621553884712e+00,  1.045922653770227e-01
  9.473684210526315e+00,  5.238136257675197e-01
  9.498746867167920e+00,  9.635968393625445e-01
  9.523809523809524e+00,  1.434582725348820e+00
  9.548872180451127e+00,  1.932258683682567e+00
  9.573934837092731e+00,  2.477120707199472e+00
  9.598997493734336e+00,  3.091523129011113e+00
  9.624060150375939e+00,  3.721371273167273e+00
  9.649122807017545e+00,  4.386692041439753e+00
  9.674185463659148e+00,  5.035981011667087e+00
  9.699248120300751e+00,  5.716294379898327e+00
  9.724310776942355e+00,  6.368756481908923e+00
  9.749373433583960e+00,  6.841678833797093e+00
  9.774436090225564e+00,  7.444896522410201e+00
  9.799498746867169e+00,  8.102018100539004e+00
  9.824561403508770e+00,  8.777854817195411e+00
  9.849624060150376e+00,  9.357680577898760e+00
  9.874686716791979e+00,  9.891975398099715e+00
  9.899749373433584e+00,  1.035035856713249e+01
  9.924812030075188e+00,  1.071074961080059e+01
  9.949874686716791e+00,  1.093787283457855e+01
  9.974937343358395e+00,  1.104725265714050e+01
  1.000000000000000e+01,  1.114131966886840e+01
