---- AnyBody Output File ---------------------------------
Study: Main.Study
Operation: Main.Study.InverseDynamics
----------------------------------------------------------
Constants (Name = Value): 
Main.Study.Output_tricps_ME_2.UpdData = 2
Main.Study.Output_tricps_ME_2.FileName = "triceps_ME_2_data.txt"
Main.Study.Output_tricps_ME_2.NumberFormat.Digits = 15
Main.Study.Output_tricps_ME_2.NumberFormat.Width = 23
Main.Study.Output_tricps_ME_2.NumberFormat.Style = ScientificNumber
Main.Study.Output_tricps_ME_2.NumberFormat.FormatStr = "%23.15e"
Main.Study.Output_tricps_ME_2.Values = 
Main.Study.Output_tricps_ME_2.Search = {"Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_ME_2.Fm"}
Main.Study.Output_tricps_ME_2.Format = 0
Main.Study.Output_tricps_ME_2.SepSign = ","
Main.Study.Output_tricps_ME_2.SepSpaceAutoOnOff = On
Main.Study.Output_tricps_ME_2.LineSepSign = ""
Main.Study.Output_tricps_ME_2.Header.TitleSectionOnOff = On
Main.Study.Output_tricps_ME_2.Header.ConstSectionOnOff = On
Main.Study.Output_tricps_ME_2.Header.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_tricps_ME_2.Header.VarSectionOnOff = On
Main.Study.Output_tricps_ME_2.Header.ColumnNamesOnOff = On
Main.Study.Output_tricps_ME_2.Header.LinePrefix = ""
Main.Study.Output_tricps_ME_2.Header.ShortenNamesOnOff = Off
Main.Study.Output_tricps_ME_2.Header.ColumnIDString = "col"
Main.Study.Output_tricps_ME_2.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_tricps_ME_2.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Study.t
col1  Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_ME_2.Fm
----------------------------------------------------------
Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_ME_2.Fm
  5.037593984962406e+00,  2.814597631412935e+01
  5.062656641604010e+00,  2.766985700878548e+01
  5.087719298245615e+00,  2.700979575264230e+01
  5.112781954887218e+00,  2.621012865408301e+01
  5.137844611528823e+00,  2.537864155194654e+01
  5.162907268170426e+00,  2.449235221742381e+01
  5.187969924812030e+00,  2.327948570329054e+01
  5.213032581453634e+00,  2.205486647989287e+01
  5.238095238095238e+00,  2.080356608948545e+01
  5.263157894736842e+00,  1.953200096601470e+01
  5.288220551378446e+00,  1.824996274803076e+01
  5.313283208020049e+00,  1.699779436829943e+01
  5.338345864661655e+00,  1.577898373416433e+01
  5.363408521303258e+00,  1.460694987580455e+01
  5.388471177944862e+00,  1.353773988696498e+01
  5.413533834586466e+00,  1.259728226941621e+01
  5.438596491228070e+00,  1.180869981677563e+01
  5.463659147869674e+00,  1.116895275376731e+01
  5.488721804511279e+00,  1.068363392510120e+01
  5.513784461152882e+00,  1.033587144614119e+01
  5.538847117794487e+00,  1.011087230619238e+01
  5.563909774436090e+00,  9.864589376290471e+00
  5.588972431077694e+00,  9.444521225703244e+00
  5.614035087719298e+00,  9.252253159213447e+00
  5.639097744360902e+00,  9.194043516022242e+00
  5.664160401002506e+00,  9.235883360022060e+00
  5.689223057644110e+00,  9.369446666562791e+00
  5.714285714285714e+00,  9.575531837381851e+00
  5.739348370927319e+00,  9.847479768768377e+00
  5.764411027568922e+00,  1.008159706250124e+01
  5.789473684210527e+00,  1.034474967847844e+01
  5.814536340852130e+00,  1.065832113298358e+01
  5.839598997493734e+00,  1.101106452322371e+01
  5.864661654135338e+00,  1.139864482330530e+01
  5.889724310776943e+00,  1.181584867584443e+01
  5.914786967418546e+00,  1.225857397003993e+01
  5.939849624060151e+00,  1.272347388493646e+01
  5.964912280701754e+00,  1.320740057483025e+01
  5.989974937343359e+00,  1.370754377038577e+01
  6.015037593984962e+00,  1.422172481176665e+01
  6.040100250626566e+00,  1.474788142232764e+01
  6.065162907268170e+00,  1.528036536051554e+01
  6.090225563909774e+00,  1.581974570054857e+01
  6.115288220551378e+00,  1.636443753068355e+01
  6.140350877192983e+00,  1.692020474384429e+01
  6.165413533834586e+00,  1.749244622489728e+01
  6.190476190476191e+00,  1.807942031188015e+01
  6.215538847117794e+00,  1.865711377627715e+01
  6.240601503759398e+00,  1.922999006855251e+01
  6.265664160401002e+00,  1.980962523596520e+01
  6.290726817042607e+00,  2.038855417481012e+01
  6.315789473684211e+00,  2.096742231209310e+01
  6.340852130325815e+00,  2.153846641031594e+01
  6.365914786967418e+00,  2.210864611730450e+01
  6.390977443609023e+00,  2.269877269822748e+01
  6.416040100250626e+00,  2.332262880464839e+01
  6.441102756892231e+00,  2.393256208749180e+01
  6.466165413533834e+00,  2.452696823256379e+01
  6.491228070175438e+00,  2.513937237544684e+01
  6.516290726817042e+00,  2.575288227469231e+01
  6.541353383458647e+00,  2.638530756551657e+01
  6.566416040100250e+00,  2.700806243358028e+01
  6.591478696741855e+00,  2.762504752034823e+01
  6.616541353383458e+00,  2.823966081636195e+01
  6.641604010025063e+00,  2.889109389277377e+01
  6.666666666666666e+00,  2.961483584826766e+01
  6.691729323308271e+00,  3.032355352937133e+01
  6.716791979949875e+00,  3.102837174927166e+01
  6.741854636591479e+00,  3.172183068951974e+01
  6.766917293233083e+00,  3.243658263381765e+01
  6.791979949874687e+00,  3.330490026803847e+01
  6.817042606516290e+00,  3.420607937521513e+01
  6.842105263157895e+00,  3.513799746243873e+01
  6.867167919799498e+00,  3.613598981765632e+01
  6.892230576441102e+00,  3.716567432147045e+01
  6.917293233082706e+00,  3.784272904880275e+01
  6.942355889724311e+00,  3.839553530037377e+01
  6.967418546365915e+00,  3.889051117864731e+01
  6.992481203007519e+00,  3.944245449832966e+01
  7.017543859649122e+00,  3.988357211591072e+01
  7.042606516290727e+00,  4.033292305291168e+01
  7.067669172932330e+00,  4.079506631254353e+01
  7.092731829573935e+00,  4.127505915005269e+01
  7.117794486215539e+00,  4.174776112778251e+01
  7.142857142857143e+00,  4.218902510011691e+01
  7.167919799498747e+00,  4.248903398168037e+01
  7.192982456140351e+00,  4.286242330197582e+01
  7.218045112781954e+00,  4.318756393732796e+01
  7.243107769423559e+00,  4.328680417390476e+01
  7.268170426065162e+00,  4.329748706900753e+01
  7.293233082706767e+00,  4.316881790923389e+01
  7.318295739348370e+00,  4.292252826158813e+01
  7.343358395989975e+00,  4.251811751872670e+01
  7.368421052631579e+00,  4.189578850691139e+01
  7.393483709273183e+00,  4.101499646999934e+01
  7.418546365914787e+00,  3.959925277140414e+01
  7.443609022556391e+00,  3.775372520163150e+01
  7.468671679197994e+00,  3.546366331170150e+01
  7.493734335839600e+00,  3.300588627390262e+01
  7.518796992481203e+00,  2.956705668434212e+01
  7.543859649122807e+00,  2.584874689205517e+01
  7.568922305764411e+00,  2.062712392792374e+01
  7.593984962406015e+00,  1.413071181006087e+01
  7.619047619047619e+00,  3.232882318498037e+00
  7.644110275689223e+00,  4.237694291865359e-12
  7.669172932330826e+00,  2.276433940858430e-13
  7.694235588972431e+00,  1.278536750078830e-13
  7.719298245614034e+00,  1.631551768365311e-13
  7.744360902255639e+00,  3.985199433353328e-13
  7.769423558897243e+00,  9.208963306408399e-14
  7.794486215538847e+00,  6.155670094708549e-14
  7.819548872180451e+00,  5.449951979266662e-14
  7.844611528822055e+00,  5.562167317902919e-14
  7.869674185463658e+00,  2.401788800158220e-13
  7.894736842105264e+00,  2.930497638376618e-14
  7.919799498746867e+00,  2.655396570135356e-14
  7.944862155388472e+00,  3.988400528056359e-14
  7.969924812030075e+00,  8.264584356795284e-14
  7.994987468671679e+00,  6.508706893658138e-14
  8.020050125313283e+00,  3.676539945700946e-14
  8.045112781954888e+00,  5.655532366465158e-14
  8.070175438596491e+00,  7.498333666715246e-14
  8.095238095238095e+00,  2.244785371608732e-14
  8.120300751879698e+00,  2.816711769942230e-14
  8.145363408521304e+00,  2.192218206638573e-13
  8.170426065162907e+00,  1.248875136433597e-13
  8.195488721804512e+00,  3.349201295008643e-14
  8.220551378446114e+00,  3.121609234722559e-14
  8.245614035087719e+00,  1.509845994626254e-13
  8.270676691729323e+00,  1.698636498964069e-13
  8.295739348370928e+00,  9.273699155912262e-14
  8.320802005012531e+00,  9.991702262622064e-14
  8.345864661654135e+00,  1.245853139851369e-13
  8.370927318295738e+00,  9.974711511191985e-14
  8.395989974937343e+00,  9.796706856564002e-14
  8.421052631578947e+00,  3.496982095020316e-14
  8.446115288220552e+00,  2.229588270790441e-14
  8.471177944862156e+00,  2.934635834085041e-13
  8.496240601503759e+00,  5.240467788562503e-14
  8.521303258145362e+00,  5.964716147103154e-14
  8.546365914786968e+00,  1.112501045505718e-13
  8.571428571428571e+00,  1.535606905024286e-13
  8.596491228070175e+00,  1.581435742114864e-13
  8.621553884711780e+00,  1.975912024384279e-13
  8.646616541353383e+00,  1.723351772991446e-13
  8.671679197994987e+00,  1.838475153151861e-13
  8.696741854636592e+00,  2.179645864481278e-13
  8.721804511278195e+00,  4.038116979961298e-13
  8.746867167919799e+00,  4.543801620430583e-13
  8.771929824561402e+00,  1.214137752969122e-13
  8.796992481203008e+00,  9.963654730909995e-14
  8.822055137844611e+00,  1.318701536347582e-13
  8.847117794486216e+00,  4.596768984959495e-13
  8.872180451127820e+00,  5.541381417010792e-13
  8.897243107769423e+00,  4.646621054054568e-13
  8.922305764411027e+00,  4.375914352762468e-13
  8.947368421052632e+00,  3.515913675976888e-13
  8.972431077694235e+00,  3.502869394461460e-13
  8.997493734335841e+00,  3.790100648582800e-13
  9.022556390977442e+00,  4.143878959198939e-13
  9.047619047619047e+00,  4.619812935760904e-13
  9.072681704260651e+00,  5.107537407932085e-13
  9.097744360902256e+00,  5.600635176152461e-13
  9.122807017543860e+00,  5.743817435090905e-13
  9.147869674185463e+00,  6.144960294459787e-13
  9.172932330827066e+00,  6.542013776703984e-13
  9.197994987468672e+00,  5.553635759373576e-13
