Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.biceps_brachii_caput_breve.Fm
  4.135338345864661e+00,  4.008113715686064e-14
  4.160401002506266e+00,  2.756551077045199e-14
  4.185463659147869e+00,  2.134489667815338e-14
  4.210526315789473e+00,  1.481529651985928e-14
  4.235588972431078e+00,  1.177228796240138e-14
  4.260651629072681e+00,  1.070067409154527e-14
  4.285714285714286e+00,  1.070388531580161e-14
  4.310776942355890e+00,  1.042915998041466e-14
  4.335839598997493e+00,  1.053159965766521e-14
  4.360902255639098e+00,  1.017328959554202e-14
  4.385964912280701e+00,  1.505270959216352e-14
  4.411027568922306e+00,  1.675858153707553e-14
  4.436090225563910e+00,  4.100569690966308e-14
  4.461152882205513e+00,  2.810939424074498e-14
  4.486215538847118e+00,  2.338661212499853e-14
  4.511278195488721e+00,  2.024500173314915e-14
  4.536340852130325e+00,  2.033514322210794e-14
  4.561403508771930e+00,  1.750637364670952e-14
  4.586466165413533e+00,  2.713983025699040e-14
  4.611528822055138e+00,  4.141198967832148e-14
  4.636591478696742e+00,  2.162191502397638e-14
  4.661654135338345e+00,  8.283507458042524e-15
  4.686716791979950e+00,  1.136719484851978e-14
  4.711779448621554e+00,  5.936360422069202e-15
  4.736842105263158e+00,  3.676631723981223e-14
  4.761904761904762e+00,  4.315816827667756e-15
  4.786967418546365e+00,  4.351582518225007e-15
  4.812030075187970e+00,  2.917644159547613e-14
  4.837092731829574e+00,  2.098722183992401e-14
  4.862155388471177e+00,  1.902766518741756e-14
  4.887218045112782e+00,  4.196284990906655e-15
  4.912280701754385e+00,  3.580142225772506e-15
  4.937343358395990e+00,  4.880987524606546e-15
  4.962406015037594e+00,  1.370928145207990e-13
  4.987468671679197e+00,  6.066038865961211e-15
  5.012531328320802e+00,  1.090080115024847e-13
  5.037593984962406e+00,  4.950783865727616e-14
  5.062656641604010e+00,  4.258477102521487e-14
  5.087719298245615e+00,  4.225633548798488e-14
  5.112781954887218e+00,  6.775684416086154e-15
  5.137844611528823e+00,  8.648831702883417e-14
