Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.biceps_brachii_caput_longum.Fm
  4.085213032581454e+00,  1.431746546347433e+01
  4.110275689223057e+00,  1.423568860768761e+01
  4.135338345864661e+00,  1.415385082623317e+01
  4.160401002506266e+00,  1.407180866267250e+01
  4.185463659147869e+00,  1.398931571358042e+01
  4.210526315789473e+00,  1.390545138516990e+01
  4.235588972431078e+00,  1.382050858687109e+01
  4.260651629072681e+00,  1.373837469604081e+01
  4.285714285714286e+00,  1.365065178702060e+01
  4.310776942355890e+00,  1.356831465696968e+01
  4.335839598997493e+00,  1.348282645840029e+01
  4.360902255639098e+00,  1.338474186912545e+01
  4.385964912280701e+00,  1.327865322057210e+01
  4.411027568922306e+00,  1.316955503847407e+01
  4.436090225563910e+00,  1.307354383982881e+01
  4.461152882205513e+00,  1.298833151816081e+01
  4.486215538847118e+00,  1.289104915104267e+01
  4.511278195488721e+00,  1.274068389795074e+01
  4.536340852130325e+00,  1.257373030694450e+01
  4.561403508771930e+00,  1.238310331988280e+01
  4.586466165413533e+00,  1.218472130714662e+01
  4.611528822055138e+00,  1.197302197599763e+01
  4.636591478696742e+00,  1.172564276330868e+01
  4.661654135338345e+00,  1.146070273892789e+01
  4.686716791979950e+00,  1.120005185097507e+01
  4.711779448621554e+00,  1.089703536398144e+01
  4.736842105263158e+00,  1.073262104300119e+01
  4.761904761904762e+00,  1.056582563251232e+01
  4.786967418546365e+00,  1.036987739007261e+01
  4.812030075187970e+00,  1.014997513240407e+01
  4.837092731829574e+00,  9.918717176535063e+00
  4.862155388471177e+00,  9.711900714344655e+00
  4.887218045112782e+00,  9.535701172923105e+00
  4.912280701754385e+00,  9.404673631433184e+00
  4.937343358395990e+00,  9.326673863227455e+00
  4.962406015037594e+00,  9.311248635454248e+00
  4.987468671679197e+00,  9.343990353339553e+00
  5.012531328320802e+00,  9.407943933083249e+00
  5.037593984962406e+00,  9.493095186106375e+00
  5.062656641604010e+00,  9.543216214424328e+00
  5.087719298245615e+00,  9.573873264294303e+00
  5.112781954887218e+00,  9.590731861113326e+00
  5.137844611528823e+00,  9.619254935356267e+00
  5.162907268170426e+00,  9.627725060701556e+00
  5.187969924812030e+00,  9.667485673210686e+00
  5.213032581453634e+00,  9.699262297187369e+00
  5.238095238095238e+00,  9.718306486622073e+00
  5.263157894736842e+00,  9.723095751481328e+00
  5.288220551378446e+00,  9.714013104841937e+00
  5.313283208020049e+00,  9.687547161045371e+00
  5.338345864661655e+00,  9.644076722969775e+00
  5.363408521303258e+00,  9.585198192992227e+00
  5.388471177944862e+00,  9.510108737602469e+00
  5.413533834586466e+00,  9.420725579111442e+00
  5.438596491228070e+00,  9.322792252295523e+00
  5.463659147869674e+00,  9.218123130928351e+00
  5.488721804511279e+00,  9.112570993310751e+00
  5.513784461152882e+00,  9.006782352313504e+00
  5.538847117794487e+00,  8.900225736180479e+00
  5.563909774436090e+00,  8.810893468323776e+00
  5.588972431077694e+00,  8.752042302057427e+00
  5.614035087719298e+00,  8.684144181356656e+00
  5.639097744360902e+00,  8.616312436166112e+00
  5.664160401002506e+00,  8.550726865765149e+00
  5.689223057644110e+00,  8.488923129293077e+00
  5.714285714285714e+00,  8.432040635623720e+00
  5.739348370927319e+00,  8.380005193061242e+00
  5.764411027568922e+00,  8.320108831548612e+00
  5.789473684210527e+00,  8.257645330485161e+00
  5.814536340852130e+00,  8.199538857686681e+00
  5.839598997493734e+00,  8.144431611388526e+00
  5.864661654135338e+00,  8.092950181665481e+00
  5.889724310776943e+00,  8.045097587015118e+00
  5.914786967418546e+00,  8.000923015996516e+00
  5.939849624060151e+00,  7.960459725606243e+00
  5.964912280701754e+00,  7.923704315360392e+00
  5.989974937343359e+00,  7.890530975357446e+00
  6.015037593984962e+00,  7.860975816222229e+00
  6.040100250626566e+00,  7.834925658418305e+00
  6.065162907268170e+00,  7.812640801525358e+00
  6.090225563909774e+00,  7.793876857382708e+00
  6.115288220551378e+00,  7.778594517405206e+00
  6.140350877192983e+00,  7.765986612855198e+00
  6.165413533834586e+00,  7.767288206779698e+00
  6.190476190476191e+00,  7.781470113529922e+00
  6.215538847117794e+00,  7.794849104807397e+00
  6.240601503759398e+00,  7.809543182925395e+00
  6.265664160401002e+00,  7.824867117588186e+00
  6.290726817042607e+00,  7.842087430653576e+00
  6.315789473684211e+00,  7.861349307942612e+00
  6.340852130325815e+00,  7.883976835386095e+00
  6.365914786967418e+00,  7.909749709639335e+00
  6.390977443609023e+00,  7.930848158793394e+00
  6.416040100250626e+00,  7.956607642582230e+00
  6.441102756892231e+00,  8.035571028337943e+00
  6.466165413533834e+00,  8.129581081961661e+00
