---- AnyBody Output File ---------------------------------
Study: Main.Study
Operation: Main.Study.InverseDynamics
----------------------------------------------------------
Constants (Name = Value): 
Main.Study.Output_FE.UpdData = 2
Main.Study.Output_FE.FileName = "FE_data.txt"
Main.Study.Output_FE.NumberFormat.Digits = 15
Main.Study.Output_FE.NumberFormat.Width = 23
Main.Study.Output_FE.NumberFormat.Style = ScientificNumber
Main.Study.Output_FE.NumberFormat.FormatStr = "%23.15e"
Main.Study.Output_FE.Values = 
Main.Study.Output_FE.Search = {"Main.HumanModel.BodyModel.Right.ShoulderArm.Jnt.FE.Pos"}
Main.Study.Output_FE.Format = 0
Main.Study.Output_FE.SepSign = ","
Main.Study.Output_FE.SepSpaceAutoOnOff = On
Main.Study.Output_FE.LineSepSign = ""
Main.Study.Output_FE.Header.TitleSectionOnOff = On
Main.Study.Output_FE.Header.ConstSectionOnOff = On
Main.Study.Output_FE.Header.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_FE.Header.VarSectionOnOff = On
Main.Study.Output_FE.Header.ColumnNamesOnOff = On
Main.Study.Output_FE.Header.LinePrefix = ""
Main.Study.Output_FE.Header.ShortenNamesOnOff = Off
Main.Study.Output_FE.Header.ColumnIDString = "col"
Main.Study.Output_FE.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_FE.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Study.t
col1  Main.HumanModel.BodyModel.Right.ShoulderArm.Jnt.FE.Pos
----------------------------------------------------------
Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Jnt.FE.Pos
  9.172932330827066e+00,  1.328247263643137e+00
  9.197994987468672e+00,  1.316839245272001e+00
  9.223057644110275e+00,  1.305408645221134e+00
  9.248120300751880e+00,  1.293965127150052e+00
  9.273182957393484e+00,  1.282518458258774e+00
  9.298245614035087e+00,  1.271078513145957e+00
  9.323308270676691e+00,  1.259655277622519e+00
  9.348370927318296e+00,  1.248258852401960e+00
  9.373433583959899e+00,  1.236899456582454e+00
  9.398496240601503e+00,  1.225587430829325e+00
  9.423558897243108e+00,  1.214333240159688e+00
  9.448621553884712e+00,  1.203147476223990e+00
  9.473684210526315e+00,  1.192040858971863e+00
  9.498746867167920e+00,  1.181024237582470e+00
  9.523809523809524e+00,  1.170108590532122e+00
  9.548872180451127e+00,  1.159305024664979e+00
  9.573934837092731e+00,  1.148624773126036e+00
  9.598997493734336e+00,  1.138079192009598e+00
  9.624060150375939e+00,  1.127679755571583e+00
  9.649122807017545e+00,  1.117438049850277e+00
  9.674185463659148e+00,  1.107365764538199e+00
  9.699248120300751e+00,  1.097474682947829e+00
  9.724310776942355e+00,  1.087776669916576e+00
  9.749373433583960e+00,  1.078283657501920e+00
  9.774436090225564e+00,  1.069007628326784e+00
  9.799498746867169e+00,  1.059960596448117e+00
  9.824561403508770e+00,  1.051154585639143e+00
  9.849624060150376e+00,  1.042601604997851e+00
  9.874686716791979e+00,  1.034313621821728e+00
  9.899749373433584e+00,  1.026302531721395e+00
  9.924812030075188e+00,  1.018580125984034e+00
  9.949874686716791e+00,  1.011158056241098e+00
  9.974937343358395e+00,  1.004047796543496e+00
  1.000000000000000e+01,  9.972606030007767e-01
