---- AnyBody Output File ---------------------------------
Study: Main.Study
Operation: Main.Study.InverseDynamics
----------------------------------------------------------
Constants (Name = Value): 
Main.Study.Output_tricps_LH_2.UpdData = 2
Main.Study.Output_tricps_LH_2.FileName = "triceps_LH_2_data.txt"
Main.Study.Output_tricps_LH_2.NumberFormat.Digits = 15
Main.Study.Output_tricps_LH_2.NumberFormat.Width = 23
Main.Study.Output_tricps_LH_2.NumberFormat.Style = ScientificNumber
Main.Study.Output_tricps_LH_2.NumberFormat.FormatStr = "%23.15e"
Main.Study.Output_tricps_LH_2.Values = 
Main.Study.Output_tricps_LH_2.Search = {"Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_LH_2.Fm"}
Main.Study.Output_tricps_LH_2.Format = 0
Main.Study.Output_tricps_LH_2.SepSign = ","
Main.Study.Output_tricps_LH_2.SepSpaceAutoOnOff = On
Main.Study.Output_tricps_LH_2.LineSepSign = ""
Main.Study.Output_tricps_LH_2.Header.TitleSectionOnOff = On
Main.Study.Output_tricps_LH_2.Header.ConstSectionOnOff = On
Main.Study.Output_tricps_LH_2.Header.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_tricps_LH_2.Header.VarSectionOnOff = On
Main.Study.Output_tricps_LH_2.Header.ColumnNamesOnOff = On
Main.Study.Output_tricps_LH_2.Header.LinePrefix = ""
Main.Study.Output_tricps_LH_2.Header.ShortenNamesOnOff = Off
Main.Study.Output_tricps_LH_2.Header.ColumnIDString = "col"
Main.Study.Output_tricps_LH_2.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_tricps_LH_2.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Study.t
col1  Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_LH_2.Fm
----------------------------------------------------------
Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_LH_2.Fm
  3.308270676691729e+00,  5.148448957190831e-14
  3.333333333333333e+00,  5.727253280156398e-14
  3.358395989974937e+00,  6.865130586560925e-14
  3.383458646616541e+00,  7.234950148018325e-14
  3.408521303258145e+00,  3.619806856528784e-14
  3.433583959899749e+00,  1.124351599685942e-14
  3.458646616541353e+00,  1.283264771488078e-14
  3.483709273182957e+00,  1.630644345694917e-14
  3.508771929824561e+00,  2.161423760024855e-14
  3.533834586466165e+00,  4.308995292880742e-14
  3.558897243107769e+00,  4.552121143332709e-14
  3.583959899749373e+00,  5.527190889849887e-14
  3.609022556390977e+00,  6.254688459216653e-14
  3.634085213032581e+00,  6.668366965955848e-14
  3.659147869674185e+00,  5.703943632641162e-14
  3.684210526315789e+00,  5.537345766594617e-14
  3.709273182957393e+00,  8.575231619331716e-14
  3.734335839598997e+00,  1.264834429223736e-13
  3.759398496240602e+00,  2.708374598658607e-14
  3.784461152882205e+00,  1.410904029796627e-14
  3.809523809523809e+00,  2.550465072482763e-14
  3.834586466165413e+00,  1.947044757338834e-14
  3.859649122807017e+00,  6.769152280533091e-14
  3.884711779448621e+00,  7.732497973976937e-14
  3.909774436090225e+00,  8.112254360980468e-14
  3.934837092731829e+00,  5.491799792581083e-14
  3.959899749373434e+00,  5.044622981793781e-14
  3.984962406015037e+00,  5.014928612275146e-14
  4.010025062656641e+00,  5.022494169022144e-14
  4.035087719298246e+00,  5.141794426144904e-14
  4.060150375939849e+00,  5.138368710333564e-14
  4.085213032581454e+00,  5.135119478018852e-14
  4.110275689223057e+00,  5.078785180198525e-14
  4.135338345864661e+00,  6.431633948103656e-14
  4.160401002506266e+00,  4.572656528199075e-14
  4.185463659147869e+00,  3.659571193668064e-14
  4.210526315789473e+00,  2.625297051947762e-14
  4.235588972431078e+00,  2.156021982860058e-14
  4.260651629072681e+00,  2.023636180231035e-14
  4.285714285714286e+00,  2.088860897487495e-14
  4.310776942355890e+00,  2.098609072663836e-14
  4.335839598997493e+00,  2.184504314066249e-14
  4.360902255639098e+00,  2.162811114264331e-14
  4.385964912280701e+00,  3.270800729603858e-14
  4.411027568922306e+00,  3.714811678283793e-14
  4.436090225563910e+00,  9.254238514305766e-14
  4.461152882205513e+00,  6.426053554632592e-14
  4.486215538847118e+00,  5.449098181522080e-14
  4.511278195488721e+00,  4.923587854124547e-14
  4.536340852130325e+00,  5.191865859242428e-14
  4.561403508771930e+00,  4.736816871850086e-14
  4.586466165413533e+00,  7.827465903791816e-14
  4.611528822055138e+00,  1.283546672167674e-13
  4.636591478696742e+00,  7.312041093898021e-14
  4.661654135338345e+00,  3.104979226203901e-14
  4.686716791979950e+00,  4.798847120940986e-14
  4.711779448621554e+00,  2.939613981083262e-14
  4.736842105263158e+00,  2.019848667759179e-13
  4.761904761904762e+00,  2.672303363831778e-14
  4.786967418546365e+00,  3.168846777900030e-14
  4.812030075187970e+00,  2.619717147418581e-13
  4.837092731829574e+00,  2.412407066897883e-13
  4.862155388471177e+00,  2.947623636298942e-13
  4.887218045112782e+00,  9.375286212044954e-14
  4.912280701754385e+00,  1.250457877317119e-13
  4.937343358395990e+00,  2.908852988004958e-13
  4.962406015037594e+00,  1.354941313082940e-11
  4.987468671679197e+00,  1.669006463026682e-12
  5.012531328320802e+00,  1.957199508442382e-02
  5.037593984962406e+00,  1.400172478410899e+00
  5.062656641604010e+00,  2.125185014440855e+00
  5.087719298245615e+00,  2.032842991580383e+00
  5.112781954887218e+00,  1.528914162410578e+00
  5.137844611528823e+00,  1.035727027590220e+00
  5.162907268170426e+00,  9.608599264972253e-02
  5.187969924812030e+00,  5.493590082055887e-12
  5.213032581453634e+00,  3.827040001180940e-12
  5.238095238095238e+00,  1.606099506033829e-12
  5.263157894736842e+00,  5.675458027500229e-13
  5.288220551378446e+00,  1.658912004931672e-12
  5.313283208020049e+00,  4.472051466986102e-13
  5.338345864661655e+00,  8.095469652828562e-13
  5.363408521303258e+00,  6.466783085813820e-13
  5.388471177944862e+00,  1.565943140076533e-12
  5.413533834586466e+00,  9.024441364008459e-13
  5.438596491228070e+00,  9.086249320187944e-13
  5.463659147869674e+00,  8.985304917619145e-13
  5.488721804511279e+00,  9.555405710926841e-13
  5.513784461152882e+00,  8.719046141810905e-13
  5.538847117794487e+00,  1.965820367118302e-12
  5.563909774436090e+00,  4.920895385671622e-01
  5.588972431077694e+00,  1.941810737464446e+00
  5.614035087719298e+00,  2.906466686953589e+00
  5.639097744360902e+00,  3.687886632326665e+00
  5.664160401002506e+00,  4.368334973935104e+00
  5.689223057644110e+00,  4.970101430369048e+00
  5.714285714285714e+00,  5.510169873050666e+00
